Candidate,Party,Criminal Cases,Education,Age,City
Kuldeep Rai Sharma,INC,0,Graduate Professional,52,ANDAMAN AND NICOBAR ISLANDS
Ayan Mandal,AITC,0,Graduate,30,ANDAMAN AND NICOBAR ISLANDS
C G Saji Kumar,All India Hindustan Congress Party,0,12th Pass,48,ANDAMAN AND NICOBAR ISLANDS
C U Rasheed,IND,0,12th Pass,34,ANDAMAN AND NICOBAR ISLANDS
Gour Chandra Majumder,IND,0,Graduate,52,ANDAMAN AND NICOBAR ISLANDS
Henry,IND,0,10th Pass,50,ANDAMAN AND NICOBAR ISLANDS
K Kalimuthu,IND,0,8th Pass,66,ANDAMAN AND NICOBAR ISLANDS
K Venkat Ram Babu,IND,0,10th Pass,45,ANDAMAN AND NICOBAR ISLANDS
Minati Biswas,IND,0,8th Pass,51,ANDAMAN AND NICOBAR ISLANDS
Paritosh Kumar Haldar,IND,0,Post Graduate,61,ANDAMAN AND NICOBAR ISLANDS
Prakash Minj,BSP,0,Post Graduate,43,ANDAMAN AND NICOBAR ISLANDS
S Sudershan Rao,IND,0,Doctorate,58,ANDAMAN AND NICOBAR ISLANDS
Sanjay Meshack,AAP,0,12th Pass,49,ANDAMAN AND NICOBAR ISLANDS
V V Khalid,IND,0,8th Pass,51,ANDAMAN AND NICOBAR ISLANDS
Vishal Jolly,BJP, 1 ,Graduate Professional,46,ANDAMAN AND NICOBAR ISLANDS
Chinta Anuradha,YSRCP,0,Graduate,46,AMALAPURAM
Ganti Harish Madhur,TDP,0,Graduate Professional,30,AMALAPURAM
Janga Goutham,INC,0,Graduate,49,AMALAPURAM
Manepalli Ayyaji Vema,BJP,0,Graduate Professional,59,AMALAPURAM
Mojas Raja Sekhar Duggirala,Janasena Party, 1 ,Post Graduate,59,AMALAPURAM
Mortha Sivarama Krishna,Pyramid Party of India,0,Graduate,29,AMALAPURAM
Muralikrishna Kanderi,India Praja Bandhu Party,0,Others,41,AMALAPURAM
Panthagada Vijaya Chakravarthy,RPI(Khobragade),0,Post Graduate,65,AMALAPURAM
Rajani Chelle,Jana Jagruti Party,0,Graduate,30,AMALAPURAM
Revu Sudhakar,IND,0,10th Pass,34,AMALAPURAM
Dr.Beesetti Venkata Satyavathi,YSRCP,0,Graduate Professional,52,ANAKAPALLE
Adari Anand Kumar,TDP,0,10th Pass,43,ANAKAPALLE
